region,ages,year,population
MI,total,2002,10015710
KY,under18,1997,1002609
CO,under18,1996,1003946
MI,total,2003,10041152
MI,total,2005,10051137
MT,total,2012,1005494
MI,total,2004,10055315
RI,total,1990,1005995
AZ,under18,1990,1006040
SC,under18,1998,1006371
SC,under18,1999,1007050
RI,total,1991,1010649
KY,under18,2006,1011295
ID,total,1990,1012384
RI,total,1992,1012581
DC,under18,2010,101309
KY,under18,2013,1014004
RI,total,1993,1015113
MT,total,2013,1015165
RI,total,1994,1015960
SC,under18,2001,1016134
KY,under18,2007,1016288
RI,total,1995,1017002
PR,under18,2005,1019447
SC,under18,2002,1020531
RI,total,1996,1020893
DC,under18,2009,102098
KY,under18,2011,1021926
DC,under18,2008,102257
SC,under18,2003,1023785
AZ,under18,1991,1028285
SC,under18,2004,1029111
RI,total,1998,1031155
PR,under18,2004,1035919
SC,under18,2005,1036941
DC,under18,2007,104126
ID,total,1991,1041316
AL,under18,1990,1050041
SC,under18,2006,1050042
RI,total,2000,1050268
RI,total,2012,1050304
RI,total,2011,1050350
PR,under18,2003,1050615
RI,total,2013,1051511
RI,total,2009,1053646
RI,total,2008,1055003
AZ,under18,1992,1055572
DC,under18,2006,105651
RI,total,2007,1057315
CO,under18,1998,1060066
AL,under18,1991,1060794
RI,total,2006,1063096
SC,under18,2007,1064190
PR,under18,2002,1065051
RI,total,2002,1065995
RI,total,2005,1067916
RI,total,2003,1071342
DC,under18,2005,107187
AL,under18,1992,1072873
SC,under18,2008,1074116
RI,total,2004,1074579
DC,under18,2012,107642
SC,under18,2012,1077455
PR,under18,2001,1077566
LA,under18,2006,1078779
SC,under18,2009,1079729
SC,under18,2013,1079798
SC,under18,2010,1079978
OH,total,1990,10864162
PR,under18,2000,1089063
AZ,under18,1993,1094233
OH,total,1991,10945762
DC,under18,2004,109756
ID,total,1993,1108768
NH,total,1991,1109929
AL,under18,1995,1110553
AL,under18,2013,1111481
AL,under18,1996,1112092
NH,total,1990,1112384
AL,under18,2003,1113083
AL,under18,2004,1113662
DC,under18,2003,111403
LA,under18,2009,1114228
LA,under18,2012,1114620
DC,under18,2013,111474
OH,total,1994,11152455
LA,under18,2011,1116579
AL,under18,2005,1117229
AL,under18,2012,1117489
NH,total,1992,1117785
AL,under18,1998,1118252
LA,under18,2010,1118576
AZ,under18,1994,1119857
AL,under18,2001,1120409
AL,under18,1999,1121287
AL,under18,2000,1122273
AL,under18,1997,1122893
OH,total,1996,11242827
DC,under18,1990,112632
CO,under18,2001,1126647
OH,total,1997,11277357
AL,under18,2010,1130966
OH,total,1998,11311536
OH,total,1999,11335454
AL,under18,2009,1134192
AL,under18,2008,1134927
OH,total,2000,11363543
HI,total,1991,1136754
DC,under18,2002,113822
CO,under18,2002,1138273
DC,under18,1998,113839
OH,total,2001,11387404
OH,total,2002,11407889
NH,total,1994,1142561
OH,total,2003,11434788
CO,under18,2003,1144597
DC,under18,2000,114503
ID,total,1994,1145140
OH,total,2004,11452251
DC,under18,2001,114625
OH,total,2005,11463320
DC,under18,1999,115003
OH,total,2007,11500468
OH,total,2008,11515391
OH,total,2009,11528896
OH,total,2010,11545435
OH,total,2011,11549772
OH,total,2012,11553031
CO,under18,2005,1156399
IL,total,1991,11568964
NH,total,1995,1157561
HI,total,1992,1158613
DC,under18,1991,116825
CO,under18,2006,1171832
HI,total,1993,1172838
AZ,under18,1995,1173391
NH,total,1996,1174719
ID,total,1995,1177322
LA,under18,2005,1177954
MD,under18,1990,1180426
LA,under18,2004,1182731
DC,under18,1992,118636
HI,total,1994,1187536
LA,under18,2003,1188070
NH,total,1997,1189425
CO,under18,2007,1189434
PA,total,1990,11903299
MN,under18,1991,1191207
IL,total,1994,11912585
LA,under18,2002,1194819
DC,under18,1997,119531
HI,total,1995,1196854
PA,total,1991,11982164
IL,total,1995,12008437
CO,under18,2008,1203289
HI,total,1996,1203755
LA,under18,2001,1204187
DC,under18,1993,120471
PA,total,1992,12049450
NH,total,1998,1205941
MD,under18,1991,1208898
IL,total,1996,12101997
HI,total,1999,1210300
HI,total,1997,1211640
PA,total,1993,12119724
DC,under18,1996,121210
MN,under18,1992,1213068
HI,total,2000,1213519
HI,total,1998,1215233
AZ,under18,1996,1215285
PA,total,1994,12166050
CO,under18,2009,1217213
IL,total,1997,12185715
PA,total,1995,12198403
NV,total,1990,1220695
DC,under18,1994,122170
NH,total,1999,1222015
PA,total,1996,12220464
LA,under18,1991,1222330
PA,total,1997,12227814
PA,total,1998,12245672
HI,total,2001,1225948
CO,under18,2010,1226619
MN,under18,1993,1226723
VT,under18,2013,122701
LA,under18,1999,1227167
PA,total,2000,12284173
PA,total,2001,12298970
CO,under18,2011,1230178
ME,total,1990,1231719
LA,under18,1998,1232984
PA,total,2002,12331031
IL,total,1999,12359020
LA,under18,1992,1237034
ME,total,1991,1237081
AZ,under18,1997,1237159
PA,total,2003,12374658
CO,under18,2013,1237932
ME,total,1992,1238508
LA,under18,1993,1239161
HI,total,2002,1239613
LA,under18,1997,1239665
NH,total,2000,1239882
WY,under18,2005,124022
PA,total,2004,12410722
ME,total,1994,1242662
IL,total,2000,12434161
ME,total,1995,1243481
LA,under18,1996,1244627
PA,total,2005,12449990
VT,under18,2012,124555
IL,total,2001,12488445
LA,under18,1995,1250112
PA,total,2006,12510809
ID,total,1998,1252330
IL,total,2002,12525556
MN,under18,1996,1252722
ME,total,1997,1254774
WY,under18,2002,125495
NH,total,2001,1255517
IL,total,2003,12556006
PA,total,2007,12563937
IL,total,2004,12589773
ME,total,1998,1259127
TN,under18,1992,1259458
IL,total,2005,12609903
PA,total,2008,12612285
MD,under18,1993,1261738
WY,under18,2001,126212
VT,under18,2011,126500
ME,total,1999,1266808
NH,total,2002,1269089
IL,total,2007,12695866
PA,total,2010,12710472
HI,total,2004,1273569
IL,total,2008,12747038
MN,under18,1998,1275940
ME,total,2000,1277072
MN,under18,2012,1278050
MN,under18,2013,1279111
MN,under18,2011,1280424
MN,under18,2005,1280557
MD,under18,1994,1280772
MN,under18,2004,1281946
MN,under18,2010,1282693
MN,under18,1999,1283102
MN,under18,2003,1283687
IL,total,2010,12839695
MN,under18,2009,1284103
MN,under18,2008,1284179
TN,under18,1993,1285044
MN,under18,2007,1285074
ME,total,2001,1285692
AZ,under18,1998,1285794
VT,under18,2010,128601
IL,total,2012,12868192
WY,under18,2000,128774
IL,total,2013,12882135
MN,under18,2002,1288795
MN,under18,2000,1289715
MN,under18,2001,1291261
ME,total,2002,1295960
NV,total,1991,1296172
NH,total,2005,1298492
ID,total,2000,1299430
MD,under18,1995,1300695
WA,under18,1990,1301545
WI,under18,1990,1302869
FL,total,1990,13033307
MD,under18,1996,1303816
VT,under18,2009,130450
ME,total,2003,1306513
WI,under18,2013,1307776
NH,total,2006,1308389
HI,total,2006,1309731
TN,under18,1994,1310988
NH,total,2007,1312540
ME,total,2004,1313688
WI,under18,1991,1314855
WY,under18,2008,131511
NH,total,2008,1315906
NH,total,2009,1316102
WI,under18,2012,1316113
MO,under18,1990,1316423
NH,total,2011,1318075
ME,total,2005,1318787
ID,total,2001,1319962
NH,total,2013,1323459
ME,total,2006,1323619
VT,under18,2008,132600
WY,under18,1998,132602
WA,under18,1991,1326527
ME,total,2007,1327040
ME,total,2010,1327366
ME,total,2012,1328501
ME,total,2009,1329590
ME,total,2008,1330509
WI,under18,1992,1330555
TN,under18,1995,1331616
HI,total,2008,1332213
WI,under18,2010,1336094
FL,total,1991,13369798
WI,under18,1993,1337334
MD,under18,1998,1338727
ID,total,2002,1340372
MD,under18,2013,1344522
WI,under18,2008,1345573
TN,under18,1996,1345723
MD,under18,2012,1346235
HI,total,2009,1346717
VT,under18,2007,134695
WI,under18,1994,1348110
MD,under18,1999,1348659
MD,under18,2011,1348766
WI,under18,2007,1348901
MO,under18,1992,1349729
WI,under18,2005,1349866
WI,under18,1995,1351343
NV,total,1992,1351367
WI,under18,1996,1352877
WY,under18,2010,135351
WY,under18,2011,135407
WI,under18,2004,1354643
MD,under18,2000,1356961
WY,under18,1996,135698
WI,under18,2003,1358505
TN,under18,1997,1359030
MD,under18,2008,1359214
WI,under18,1997,1359712
ID,total,2003,1363380
HI,total,2010,1363731
FL,total,1992,13650553
WY,under18,2012,136526
WI,under18,2002,1365315
MO,under18,1993,1365903
MD,under18,2001,1366552
WI,under18,1999,1367019
WY,under18,1991,136720
VT,under18,2006,136731
WI,under18,2001,1367593
WY,under18,1995,136785
MD,under18,2007,1369563
TN,under18,1998,1369987
WI,under18,2000,1370440
WY,under18,1992,137308
WY,under18,1993,137458
MA,under18,1991,1375110
WY,under18,2013,137679
HI,total,2011,1376897
WY,under18,1994,137733
MD,under18,2006,1377756
MO,under18,1994,1378700
MD,under18,2003,1379641
MD,under18,2005,1382966
MD,under18,2004,1383450
TN,under18,1999,1385997
WA,under18,1993,1387716
HI,total,2012,1390090
ID,total,2004,1391802
FL,total,1993,13927185
MO,under18,1995,1393554
MO,under18,2013,1397685
AZ,under18,2001,1399015
MA,under18,2012,1399417
TN,under18,2000,1399685
MO,under18,2012,1405015
TN,under18,2001,1407578
MO,under18,1996,1408732
WA,under18,1994,1409922
VT,under18,2004,141068
NV,total,1993,1411215
MO,under18,2011,1414444
TN,under18,2002,1414857
MA,under18,1993,1415724
MO,under18,1997,1419837
MO,under18,2004,1420956
MA,under18,2009,1422935
MO,under18,2005,1422978
FL,total,1994,14239444
MO,under18,2010,1424042
MO,under18,2002,1424513
MO,under18,2001,1426575
MO,under18,2009,1426603
AZ,under18,2002,1427938
MO,under18,1999,1428047
ID,total,2005,1428241
MO,under18,2006,1428324
MO,under18,2000,1428383
MO,under18,1998,1428999
WA,under18,1995,1429397
MA,under18,2008,1429727
MO,under18,2007,1431346
VT,under18,1990,143296
TN,under18,2004,1433343
MA,under18,1994,1437069
IN,under18,1990,1437209
MA,under18,2007,1439757
VT,under18,2002,144441
TN,under18,2005,1449326
WA,under18,1996,1449613
MA,under18,2006,1450202
IN,under18,1991,1450759
VT,under18,1991,145219
MA,under18,1995,1453489
AZ,under18,2003,1453671
IN,under18,1992,1461650
MA,under18,2005,1464140
ID,total,2006,1468669
VT,under18,1992,146983
ND,under18,2007,147263
IN,under18,1993,1473007
ND,under18,2006,147331
VT,under18,2000,147549
MA,under18,1997,1478203
TN,under18,2007,1482747
AZ,under18,2004,1484454
VT,under18,1998,148467
FL,total,1996,14853360
