region,ages,year,population
ND,total,2013,723393
AL,total,1993,4214202
NY,total,2013,19651127
OH,total,1994,11152455
NE,total,1997,1686418
DC,total,2002,573158
CO,total,1998,4116639
CT,total,2002,3458749
WA,total,1993,5278842
IL,total,2005,12609903
SD,total,2002,760020
KS,total,1997,2635292
MT,total,1997,889865
WA,total,1990,4903043
PR,total,1996,NaN
SD,total,1992,712801
SC,total,1991,3570404
NV,total,2004,2346222
AR,total,1998,2626289
PA,total,2004,12410722
WV,total,1998,1815609
FL,total,2012,19320749
MT,total,2006,952692
TN,total,1990,4894492
PR,total,2004,3826878
AK,total,2007,680300
MS,total,2009,2958774
MO,total,1996,5431553
LA,total,1991,4253279
FL,total,1997,15186304
AL,total,2008,4718206
ID,total,2006,1468669
TX,total,1994,18564062
NJ,total,1999,8359592
LA,total,1995,4378779
IL,total,1996,12101997
IL,total,2003,12556006
KY,total,1998,3985391
SC,total,2013,4774839
LA,total,2008,4435586
CT,total,2000,3411777
MI,total,1994,9597737
OH,total,1998,11311536
LA,total,2012,4602134
ID,total,1998,1252330
CA,total,2002,34871843
CA,total,2005,35827943
MO,total,1993,5271175
ND,under18,1995,171146
CT,under18,2012,794959
NY,under18,2013,4239976
NE,under18,1996,446841
IA,under18,1992,724798
IN,under18,1993,1473007
NC,under18,2011,2284238
WA,under18,2001,1517527
GA,under18,2013,2489709
VT,under18,2007,134695
MN,under18,1999,1283102
NH,under18,2004,309243
NE,under18,2010,459621
WV,under18,2011,385283
OH,under18,1994,2875397
NH,under18,2006,305169
NM,under18,2001,503404
NV,under18,2001,534708
PA,under18,1990,2799168
OK,under18,2002,884961
WY,under18,1991,136720
UT,under18,1998,709386
KS,under18,1992,680871
MI,under18,1994,2535196
NH,under18,2012,275818
AK,under18,1993,187190
OR,under18,2008,865664
MN,under18,2000,1289715
RI,under18,2012,216591
MI,under18,1990,2459633
SD,under18,2007,198847
NV,under18,1997,443626
CA,under18,2002,9365142
USA,under18,1993,67594938
NE,under18,1998,451192
LA,under18,2010,1118576
WV,under18,1995,428790
PR,under18,1994,NaN
SC,under18,1995,975884
NC,under18,1990,1625804
SD,under18,2001,200795
MO,under18,2009,1426603
MT,under18,2011,222977
CA,under18,1995,8920578
SD,under18,2009,201204
OR,under18,1995,806512
WI,under18,2004,1354643
MD,under18,1993,1261738
AL,under18,1990,1050041
IN,under18,2003,1582560
WA,under18,2007,1549582
FL,under18,1990,2988807
