state,area sq mi
Colorado,104100
Massachusetts,10555
Hawaii,10932
Nevada,110567
Arizona,114006
New Mexico,121593
Maryland,12407
Montana,147046
Rhode Island,1545
California,163707
Delaware,1954
West Virginia,24231
Texas,268601
South Carolina,32007
Puerto Rico,3515
Maine,35387
Indiana,36420
Kentucky,40411
Tennessee,42146
Virginia,42769
Ohio,44828
Pennsylvania,46058
Mississippi,48434
Louisiana,51843
Alabama,52423
Arkansas,53182
North Carolina,53821
New York,54475
Connecticut,5544
Iowa,56276
Illinois,57918
Georgia,59441
Wisconsin,65503
Alaska,656425
Florida,65758
District of Columbia,68
Missouri,69709
Oklahoma,69903
North Dakota,70704
Washington,71303
South Dakota,77121
Nebraska,77358
Kansas,82282
Idaho,83574
Utah,84904
Minnesota,86943
New Jersey,8722
New Hampshire,9351
Vermont,9615
Michigan,96810
Wyoming,97818
Oregon,98386
