region,ages,year,population
MI,total,2007,10001284
MI,total,2002,10015710
SC,under18,1997,1001681
KY,under18,1997,1002609
MI,total,2006,10036081
CO,under18,1996,1003946
KY,under18,2005,1004020
MI,total,2003,10041152
MI,total,2005,10051137
MT,total,2012,1005494
MI,total,2004,10055315
RI,total,1990,1005995
AZ,under18,1990,1006040
SC,under18,1998,1006371
SC,under18,1999,1007050
SC,under18,2000,1010641
RI,total,1991,1010649
KY,under18,2006,1011295
ID,total,1990,1012384
RI,total,1992,1012581
DC,under18,2010,101309
KY,under18,2013,1014004
RI,total,1993,1015113
MT,total,2013,1015165
RI,total,1994,1015960
SC,under18,2001,1016134
KY,under18,2007,1016288
RI,total,1995,1017002
KY,under18,2012,1017350
PR,under18,2005,1019447
SC,under18,2002,1020531
RI,total,1996,1020893
DC,under18,2009,102098
KY,under18,2009,1021710
KY,under18,2011,1021926
KY,under18,2008,1022001
DC,under18,2008,102257
KY,under18,2010,1023679
SC,under18,2003,1023785
RI,total,1997,1025353
AZ,under18,1991,1028285
SC,under18,2004,1029111
CO,under18,1997,1030557
RI,total,1998,1031155
PR,under18,2004,1035919
SC,under18,2005,1036941
DC,under18,2011,103906
RI,total,1999,1040402
DC,under18,2007,104126
ID,total,1991,1041316
AL,under18,1990,1050041
SC,under18,2006,1050042
RI,total,2000,1050268
RI,total,2012,1050304
RI,total,2011,1050350
PR,under18,2003,1050615
RI,total,2013,1051511
RI,total,2010,1052669
RI,total,2009,1053646
RI,total,2008,1055003
AZ,under18,1992,1055572
DC,under18,2006,105651
RI,total,2001,1057142
RI,total,2007,1057315
CO,under18,1998,1060066
AL,under18,1991,1060794
RI,total,2006,1063096
SC,under18,2007,1064190
PR,under18,2002,1065051
RI,total,2002,1065995
RI,total,2005,1067916
RI,total,2003,1071342
ID,total,1992,1071685
DC,under18,2005,107187
AL,under18,1992,1072873
SC,under18,2008,1074116
RI,total,2004,1074579
DC,under18,2012,107642
SC,under18,2011,1076524
SC,under18,2012,1077455
PR,under18,2001,1077566
LA,under18,2006,1078779
SC,under18,2009,1079729
SC,under18,2013,1079798
SC,under18,2010,1079978
CO,under18,1999,1083938
AL,under18,1993,1085606
OH,total,1990,10864162
PR,under18,2000,1089063
AZ,under18,1993,1094233
OH,total,1991,10945762
LA,under18,2007,1096642
AL,under18,1994,1097180
DC,under18,2004,109756
OH,total,1992,11029431
CO,under18,2000,1106676
LA,under18,2008,1108728
ID,total,1993,1108768
NH,total,1991,1109929
OH,total,1993,11101140
AL,under18,1995,1110553
AL,under18,2013,1111481
AL,under18,1996,1112092
NH,total,1990,1112384
LA,under18,2013,1112957
AL,under18,2003,1113083
HI,total,1990,1113491
AL,under18,2004,1113662
DC,under18,2003,111403
LA,under18,2009,1114228
LA,under18,2012,1114620
DC,under18,2013,111474
OH,total,1994,11152455
LA,under18,2011,1116579
AL,under18,2002,1116590
